,Unnamed: 0,name,location,distance,duration
0,0,特来电充电站(上海交大系统生物医学中心),"{'lat': 31.036369, 'lng': 121.446104}",101,45
1,1,停车场(振义路),"{'lat': 31.035573, 'lng': 121.446319}",170,71
2,2,文治大道与振义路交叉口,"{'lat': 31.036345, 'lng': 121.448739}",247,54
3,3,特来电充电站(上海交大生命学院站),"{'lat': 31.037064, 'lng': 121.448872}",197,51
4,4,停车场(文治大道),"{'lat': 31.036955, 'lng': 121.448985}",233,59
5,5,思源北路与文治大道交叉口,"{'lat': 31.035231, 'lng': 121.449154}",378,74
6,6,谈家塘路张家里路,"{'lat': 31.042506, 'lng': 121.445872}",1826,313
7,7,剑川路S4,"{'lat': 31.037321, 'lng': 121.439522}",1220,204
8,8,莲花南路剑川路,"{'lat': 31.037956, 'lng': 121.453877}",1364,220
9,9,S4/剑川路(路口),"{'lat': 31.036485, 'lng': 121.436602}",13488,1130
10,10,剑川路/沪金高速(路口),"{'lat': 31.036485, 'lng': 121.436602}",13488,1130
11,11,莲花南路与永德路交叉口,"{'lat': 31.045339, 'lng': 121.449656}",1483,267
12,12,剑川路收费站(S4沪金高速出口),"{'lat': 31.040452, 'lng': 121.43451}",13003,1120
13,13,剑川路沧源路,"{'lat': 31.035417, 'lng': 121.433854}",1800,342
14,14,剑川路/虹梅南路(路口),"{'lat': 31.044581, 'lng': 121.462482}",1973,324
15,15,永平路/东川路(路口),"{'lat': 31.023486, 'lng': 121.437475}",2428,395
16,16,叔同路/思源北路(路口),"{'lat': 31.03372, 'lng': 121.44476}",564,103
17,17,思源北路/学森路(路口),"{'lat': 31.032785, 'lng': 121.441826}",832,119
18,18,龙坡路/思源南路(路口),"{'lat': 31.029938, 'lng': 121.448837}",1043,126
19,19,S4剑川路收费站(S4沪金高速出口剑川路方向),"{'lat': 31.035039, 'lng': 121.437635}",17517,1421
