,Unnamed: 0,name,location,distance,duration
0,0,上海交通大学-系统生物医学研究院(闵行校区),"{'lat': 31.036011, 'lng': 121.446614}",118,40
1,1,上海交通大学(闵行校区)-农业与生物学院,"{'lat': 31.037956, 'lng': 121.448263}",198,44
2,2,上海交通大学(闵行校区)-新行政楼,"{'lat': 31.033731, 'lng': 121.447176}",766,156
3,3,上海市电力育才职业技能培训中心,"{'lat': 31.037257, 'lng': 121.440076}",963,156
4,4,上海交通大学(闵行校区)新行政楼-B楼,"{'lat': 31.03329, 'lng': 121.446867}",789,118
5,5,上海交通大学(闵行校区)新行政楼-A楼,"{'lat': 31.033902, 'lng': 121.447547}",744,156
6,6,上海交通大学生物药学楼(闵行校区),"{'lat': 31.036545, 'lng': 121.450622}",414,78
7,7,上海交通大学-生命科学技术学院,"{'lat': 31.035602, 'lng': 121.450208}",586,123
8,8,上海交通大学新建闵行校区转化医学大楼,"{'lat': 31.035322, 'lng': 121.446679}",297,93
9,9,紫竹国际教育园区,"{'lat': 31.041881, 'lng': 121.444809}",2023,340
10,10,上海交通大学闵行校区木兰船建大楼,"{'lat': 31.037125, 'lng': 121.452164}",535,108
11,11,上海交通大学(闵行校区),"{'lat': 31.03201, 'lng': 121.443287}",942,148
12,12,上海交通大学转化医学研究院,"{'lat': 31.035564, 'lng': 121.447826}",166,59
13,13,玛萨教育,"{'lat': 31.048576, 'lng': 121.43496}",3764,578
14,14,上海交通大学(闵行校区)-逸夫科技楼,"{'lat': 31.032258, 'lng': 121.441547}",907,141
15,15,博格华纳中国技术中心,"{'lat': 31.027112, 'lng': 121.454481}",3218,480
16,16,上海交通大学(闵行校区)-综合实验大楼,"{'lat': 31.034872, 'lng': 121.452365}",775,135
17,17,上海交通大学-东下院(闵行校区),"{'lat': 31.030738, 'lng': 121.443493}",1142,160
18,18,上海交通大学闵行校区-学生服务中心,"{'lat': 31.034858, 'lng': 121.438709}",866,136
19,19,上海交通大学(闵行校区)机械与动力工程学院-蒙民伟楼,"{'lat': 31.032113, 'lng': 121.453595}",997,175
